Date,Open,High,Low,Close,Adj Close,Volume
2019-04-22,27.690001,27.889999,27.320000,27.440001,27.104246,45321900
2019-04-23,27.719999,28.000000,27.680000,27.680000,27.341309,52199500
2019-04-24,27.719999,27.889999,27.209999,27.600000,27.262287,57704700
2019-04-25,27.450001,28.070000,27.430000,27.799999,27.459841,55201700
2019-04-26,27.680000,27.770000,27.059999,27.250000,26.935459,52616600
2019-04-29,27.549999,27.620001,27.340000,27.370001,27.054075,27689800
2019-04-30,27.520000,27.660000,26.980000,27.110001,26.797075,39570700
2019-05-02,26.799999,26.820000,26.520000,26.730000,26.421459,37820300
2019-05-03,26.900000,27.070000,26.850000,26.850000,26.540077,33334800
2019-05-06,26.389999,26.770000,26.360001,26.770000,26.460999,31715900
2019-05-07,26.650000,26.660000,26.120001,26.350000,26.045847,52454400
2019-05-08,26.309999,27.469999,26.290001,27.370001,27.054075,71780300
2019-05-09,27.100000,27.120001,26.639999,26.830000,26.520306,46663300
2019-05-10,26.870001,26.920000,26.420000,26.680000,26.372038,33336000
2019-05-13,26.209999,26.469999,25.820000,25.900000,25.601040,43146100
2019-05-14,26.170000,26.230000,25.850000,26.000000,25.699886,34968600
2019-05-15,25.740000,25.889999,25.660000,25.879999,25.581272,37053900
2019-05-16,25.770000,26.040001,25.240000,25.270000,24.978313,46502200
2019-05-17,25.049999,25.420000,24.469999,24.680000,24.395124,67291200
2019-05-20,24.680000,25.520000,24.639999,25.520000,25.225428,54472000
2019-05-21,25.700001,26.490000,25.420000,26.490000,26.184231,57846700
2019-05-22,26.340000,26.469999,25.959999,26.290001,26.085011,48439300
2019-05-23,25.900000,25.920000,25.520000,25.840000,25.638519,49527400
2019-05-24,26.150000,26.360001,25.930000,26.090000,25.886570,35915100
2019-05-27,26.299999,26.540001,26.170000,26.240000,26.035400,33892000
2019-05-28,26.129999,26.799999,26.129999,26.799999,26.591034,60774600
2019-05-29,26.490000,26.709999,26.260000,26.500000,26.293373,43124400
2019-05-30,26.510000,26.860001,25.990000,26.150000,25.946102,71847200
2019-05-31,25.790001,26.270000,25.420000,25.549999,25.350780,63137200
2019-06-03,25.879999,26.320000,25.850000,25.990000,25.787350,53470600
2019-06-04,26.290001,26.370001,26.030001,26.200001,25.995712,37331100
2019-06-05,26.180000,26.290001,25.559999,25.860001,25.658363,65282100
2019-06-06,26.170000,26.629999,25.719999,26.280001,26.075089,87836900
2019-06-07,26.690001,26.830000,26.370001,26.760000,26.551346,52235500
2019-06-10,26.600000,26.889999,26.520000,26.650000,26.442204,39666800
2019-06-11,26.889999,27.290001,26.709999,27.160000,26.948227,52437000
2019-06-12,27.020000,27.120001,26.639999,26.850000,26.640644,43392200
2019-06-13,27.150000,27.389999,27.080000,27.180000,26.968071,48981600
2019-06-14,27.200001,27.250000,26.900000,27.059999,26.849007,42802400
2019-06-17,27.080000,27.430000,26.959999,27.110001,26.898617,49290000
2019-06-18,27.299999,27.520000,27.250000,27.450001,27.235966,31332800
2019-06-19,27.350000,27.590000,27.219999,27.520000,27.305420,33286300
2019-06-21,27.950001,28.389999,27.950001,28.280001,28.059494,58424700
2019-06-24,28.320000,28.379999,28.120001,28.250000,28.029728,27365000
2019-06-25,28.139999,28.160000,27.379999,27.510000,27.295498,56472100
2019-06-26,27.549999,27.930000,27.520000,27.670000,27.454250,48901500
2019-06-27,27.440001,27.549999,27.010000,27.230000,27.017681,55219200
2019-06-28,27.450001,27.610001,27.110001,27.410000,27.196278,40262000
2019-07-01,27.840000,28.030001,27.209999,27.260000,27.047447,46759100
2019-07-02,27.260000,27.260000,26.650000,26.820000,26.610878,57954200
2019-07-03,27.040001,27.200001,26.889999,27.180000,26.968071,29291800
2019-07-04,27.379999,27.580000,27.320000,27.389999,27.176434,28577400
2019-07-05,27.270000,27.590000,27.129999,27.400000,27.186356,27414700
2019-07-08,27.500000,27.719999,27.440001,27.650000,27.434406,25318200
2019-07-10,28.000000,28.270000,27.969999,28.070000,27.851131,50715800
2019-07-11,28.200001,28.510000,28.160000,28.400000,28.178558,48206900
2019-07-12,28.540001,28.740000,28.410000,28.530001,28.307545,40908900
2019-07-15,28.590000,28.650000,28.180000,28.180000,27.960274,36592400
2019-07-16,28.280001,28.330000,27.600000,27.830000,27.613003,54789300
2019-07-17,27.990000,28.000000,27.639999,27.680000,27.464172,28923500
2019-07-18,27.760000,27.809999,27.430000,27.510000,27.295498,35830700
2019-07-19,27.500000,27.600000,27.370001,27.440001,27.226044,28418900
2019-07-22,27.620001,27.750000,27.360001,27.490000,27.275654,22304400
2019-07-23,27.510000,27.629999,27.400000,27.520000,27.305420,21124400
2019-07-24,27.590000,27.639999,27.299999,27.350000,27.136745,27939600
2019-07-25,27.469999,27.500000,26.809999,26.889999,26.680332,26892300
2019-07-26,26.799999,26.799999,26.100000,26.139999,25.936180,75644000
2019-07-29,26.219999,26.440001,25.959999,26.379999,26.174309,26493300
2019-07-30,26.350000,26.490000,26.180000,26.240000,26.035400,38201600
2019-07-31,26.389999,26.500000,26.020000,26.080000,25.876648,39890200
2019-08-01,26.299999,26.559999,25.160000,26.250000,26.045322,91345800
2019-08-02,26.370001,26.889999,26.280001,26.520000,26.313217,64112900
2019-08-05,25.799999,26.129999,25.520000,25.549999,25.350780,48277000
2019-08-06,25.900000,26.219999,25.680000,25.879999,25.678207,44208100
2019-08-07,25.440001,25.730000,25.000000,25.600000,25.400391,67698500
2019-08-08,26.100000,26.350000,25.860001,26.350000,26.144543,50256700
2019-08-09,26.299999,26.690001,26.100000,26.280001,26.075089,36641500
2019-08-12,25.920000,25.920000,25.540001,25.650000,25.450001,36122000
2019-08-13,25.360001,26.129999,25.230000,25.790001,25.790001,45330500
2019-08-14,25.260000,25.379999,24.780001,24.920000,24.920000,54401100
2019-08-15,24.990000,25.000000,24.139999,24.230000,24.230000,53894500
2019-08-16,24.719999,24.770000,23.889999,23.910000,23.910000,56782000
2019-08-19,24.299999,24.500000,23.850000,24.030001,24.030001,50699300
2019-08-20,23.910000,24.190001,23.680000,24.020000,24.020000,37141700
2019-08-21,24.350000,25.990000,24.180000,25.450001,25.450001,87840800
2019-08-22,25.500000,25.719999,25.160000,25.219999,25.219999,40808800
2019-08-23,24.780001,25.370001,24.230000,24.280001,24.280001,58032300
2019-08-26,24.580000,24.680000,23.770000,23.959999,23.959999,39688800
2019-08-27,24.170000,24.820000,23.809999,24.340000,24.340000,70475200
2019-08-28,24.200001,24.700001,24.120001,24.590000,24.590000,41981500
2019-08-29,24.900000,25.500000,24.680000,25.500000,25.500000,61008800
2019-08-30,25.530001,25.690001,25.170000,25.500000,25.500000,54958200
2019-09-02,25.389999,25.580000,25.250000,25.299999,25.299999,19049900
2019-09-03,25.110001,25.660000,25.030001,25.600000,25.600000,47829600
2019-09-04,26.160000,26.370001,26.000000,26.260000,26.260000,56179000
2019-09-05,26.600000,26.790001,26.340000,26.389999,26.389999,48586800
2019-09-06,26.400000,26.860001,26.200001,26.520000,26.520000,48502200
